"","3","4","5","6","18","33","36","37","40","41","42","43","44","45","48","49","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","82","83","134","135","136","137","220","221","259","367","370","373","1","2","7","11","34","206","207","210","211","212","213","214","215","257","263","264","265","368","369","399","400","401","404","405","409","410","413","415","418","419","420","422","424","425","428","430","432","433","435"
"44",0.00187287254071812,0.00195646371120271,0.00187456473167508,0.00192955710928984,0,0,0,0,0.00195327207258191,0.00192587728430486,0.00195327207258191,0.00192587728430486,0.00391917173856355,0.00195552858452485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0.00186899479423595,0.00195241289081389,0.00187068348154416,0.00192556199850145,0,0,0,0,0.00194922786041931,0.00192188979252315,0.00194922786041931,0.00192188979252315,0.00195552858452485,0.00390295940059557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458809278925247,0.0218651270737464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218651270737464,0.0416803934803567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07110576,0.03681918,0.0378447150491246,0.0359099395158889,0.0362538406975363,0.0346674578273565,0.0320595,0.03408558,0.0363901220575975,0.0367974264362692,0.0324487405264056,0.0350224525955086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03681918,0.0762611645454546,0.0391926441807929,0.0371889570359596,0.0375451070724486,0.0359022214202576,0.033201375,0.0352996186363636,0.0376862424158226,0.0381080539043182,0.0336044792493611,0.036269860167601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378447150491246,0.0391926441807929,0.080568576,0.0382247915896016,0.0385908615739321,0.0369022161623433,0.0341261423017604,0.0362828289124296,0.038735928,0.0391694883233576,0.0345404743279533,0.0372800948558456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359099395158889,0.0371889570359596,0.0382247915896016,0.07254117,0.03661794,0.035015625,0.0323814753097257,0.0344279033418388,0.0367555900412045,0.037166985,0.032774625,0.035374185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362538406975363,0.0375451070724486,0.0385908615739321,0.03661794,0.0739372430769231,0.0353509615384615,0.0326915852061117,0.0347576114059713,0.0371075898222602,0.0375229246153846,0.0330885,0.0357129553846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346674578273565,0.0359022214202576,0.0369022161623433,0.035015625,0.0353509615384615,0.0676081730769231,0.0312610782647182,0.0332367000133599,0.0354838488967452,0.0358810096153846,0.031640625,0.0341502403846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
